"Story","Title","Result","Date","Stability","Duration (s)"
"When user access page","A when http redirect https testcase 1","SUCCESS","2017-11-07T20:12:11.206+08:00[Asia/Singapore]","0.0","10.7"
"When user access page","A when http redirect https testcase 2","SUCCESS","2017-11-07T20:12:23.072+08:00[Asia/Singapore]","0.0","5.84"
"When user access page","A when http redirect https testcase 3","SUCCESS","2017-11-07T20:12:29.105+08:00[Asia/Singapore]","0.0","5.29"
"When user access page","B when http map redirect https testcase 1","SUCCESS","2017-11-07T20:12:43.946+08:00[Asia/Singapore]","0.0","4.44"
"When user access page","B when https map redirect https testcase 2","SUCCESS","2017-11-07T20:12:48.521+08:00[Asia/Singapore]","0.0","3.21"
"When user access page","C when mobile http redirect https testcase 1","SUCCESS","2017-11-07T20:12:51.852+08:00[Asia/Singapore]","0.0","9.25"
"When user access page","C when mobile https redirect https testcase 2","SUCCESS","2017-11-07T20:13:01.115+08:00[Asia/Singapore]","0.0","9.6"
"When user access page","D when test subdir testcase 1","SUCCESS","2017-11-07T20:13:10.733+08:00[Asia/Singapore]","0.0","4.29"
"When user access page","D when test subdir testcase 2","SUCCESS","2017-11-07T20:13:15.152+08:00[Asia/Singapore]","0.0","3.07"
"When user access page","D when test subdir testcase 3","SUCCESS","2017-11-07T20:13:18.339+08:00[Asia/Singapore]","0.0","5.89"
"When user access page","D when test subdir testcase 4","SUCCESS","2017-11-07T20:13:24.345+08:00[Asia/Singapore]","0.0","4.81"
"When user access page","D when test subdir testcase 5","SUCCESS","2017-11-07T20:13:29.353+08:00[Asia/Singapore]","0.0","3.53"
"When user access page","D when test subdir testcase 6","SUCCESS","2017-11-07T20:13:33.042+08:00[Asia/Singapore]","0.0","3.58"
"When user access page","D when test subdir testcase 7","SUCCESS","2017-11-07T20:13:36.806+08:00[Asia/Singapore]","0.0","4.52"
"When user access page","E when google search redirection testcase 1","SUCCESS","2017-11-07T20:13:41.472+08:00[Asia/Singapore]","0.0","16.2"
"When user access page","F when google mobile search redirection testcase 1","SUCCESS","2017-11-07T20:13:57.699+08:00[Asia/Singapore]","0.0","11.32"
